[10:12:20] 📍 Loaded 563 district venues
[10:12:20] 🚀 DISTRICT SCRAPER STARTED
[10:12:33] ✅ Fetched 59 venues with shows
[10:12:33] ✅ DONE | Shows=241 | Movies=6
[16:45:46] 📍 Loaded 563 district venues
[16:45:46] 🚀 DISTRICT SCRAPER STARTED
[16:45:58] ✅ Fetched 68 venues with shows
[16:45:58] ✅ DONE | Shows=282 | Movies=6
[04:43:51] 📍 Loaded 563 district venues
[04:43:51] 🚀 DISTRICT SCRAPER STARTED
[04:43:51] ⚠ 25860 status 429
[04:43:51] ⚠ 4067 status 429
[04:43:51] ⚠ 6057 status 429
[04:43:51] ⚠ 1067946 status 429
[04:43:51] ⚠ 58633 status 429
[04:43:51] ⚠ 43348 status 429
[04:43:51] ⚠ 9135 status 429
[04:43:51] ⚠ 1091219 status 429
[04:43:51] ⚠ 10250 status 429
[04:43:51] ⚠ 1050645 status 429
[04:43:51] ⚠ 1092958 status 429
[04:43:51] ⚠ 1018798 status 429
[04:43:51] ⚠ 1020333 status 429
[04:43:51] ⚠ 3960 status 429
[04:43:51] ⚠ 1019166 status 429
[04:43:51] ⚠ 1005799 status 429
[04:43:51] ⚠ 1005798 status 429
[04:43:51] ⚠ 1037530 status 429
[04:43:51] ⚠ 60085 status 429
[04:43:51] ⚠ 1034375 status 429
[04:43:51] ⚠ 1015289 status 429
[04:43:51] ⚠ 1034383 status 429
[04:43:51] ⚠ 1058533 status 429
[04:43:51] ⚠ 1041725 status 429
[04:43:51] ⚠ 27150 status 429
[04:43:51] ⚠ 1025291 status 429
[04:43:51] ⚠ 4608 status 429
[04:43:51] ⚠ 1058794 status 429
[04:43:51] ⚠ 1044095 status 429
[04:43:51] ⚠ 1033632 status 429
[04:43:51] ⚠ 1015291 status 429
[04:43:51] ⚠ 1013208 status 429
[04:43:51] ⚠ 1039768 status 429
[04:43:51] ⚠ 1034254 status 429
[04:43:51] ⚠ 1034186 status 429
[04:43:51] ⚠ 27716 status 429
[04:43:51] ⚠ 1019593 status 429
[04:43:51] ⚠ 1039751 status 429
[04:43:51] ⚠ 27715 status 429
[04:43:51] ⚠ 1042453 status 429
[04:43:51] ⚠ 44966 status 429
[04:43:51] ⚠ 496 status 429
[04:43:51] ⚠ 1063761 status 429
[04:43:51] ⚠ 7747 status 429
[04:43:51] ⚠ 4306 status 429
[04:43:51] ⚠ 4042 status 429
[04:43:51] ⚠ 1016986 status 429
[04:43:51] ⚠ 24929 status 429
[04:43:51] ⚠ 28214 status 429
[04:43:51] ⚠ 4217 status 429
[04:43:51] ⚠ 1083399 status 429
[04:43:51] ⚠ 1020288 status 429
[04:43:51] ⚠ 9373 status 429
[04:43:51] ⚠ 1088803 status 429
[04:43:51] ⚠ 1037142 status 429
[04:43:51] ⚠ 1037520 status 429
[04:43:51] ⚠ 1039424 status 429
[04:43:51] ⚠ 7752 status 429
[04:43:51] ⚠ 1067686 status 429
[04:43:51] ⚠ 1053939 status 429
[04:43:51] ⚠ 52996 status 429
[04:43:51] ⚠ 1036961 status 429
[04:43:51] ⚠ 1089067 status 429
[04:43:51] ⚠ 1023626 status 429
[04:43:51] ⚠ 31987 status 429
[04:43:51] ⚠ 1015795 status 429
[04:43:51] ⚠ 509 status 429
[04:43:51] ⚠ 7222 status 429
[04:43:51] ⚠ 1041692 status 429
[04:43:51] ⚠ 4332 status 429
[04:43:51] ⚠ 16791 status 429
[04:43:51] ⚠ 15527 status 429
[04:43:51] ⚠ 1020190 status 429
[04:43:51] ⚠ 1063452 status 429
[04:43:51] ⚠ 44366 status 429
[04:43:51] ⚠ 26401 status 429
[04:43:51] ⚠ 1088790 status 429
[04:43:51] ⚠ 6093 status 429
[04:43:51] ⚠ 22305 status 429
[04:43:51] ⚠ 1003802 status 429
[04:43:51] ⚠ 9420 status 429
[04:43:51] ⚠ 1008409 status 429
[04:43:51] ⚠ 1003773 status 429
[04:43:51] ⚠ 1065451 status 429
[04:43:51] ⚠ 1030422 status 429
[04:43:51] ⚠ 30524 status 429
[04:43:51] ⚠ 1005991 status 429
[04:43:51] ⚠ 25938 status 429
[04:43:51] ⚠ 24351 status 429
[04:43:51] ⚠ 1041753 status 429
[04:43:51] ⚠ 5041 status 429
[04:43:51] ⚠ 1039877 status 429
[04:43:51] ⚠ 522 status 429
[04:43:51] ⚠ 4739 status 429
[04:43:51] ⚠ 32294 status 429
[04:43:51] ⚠ 1039842 status 429
[04:43:51] ⚠ 26230 status 429
