[10:04:12] 📍 Loaded 563 district venues
[10:04:12] 🚀 DISTRICT SCRAPER STARTED
[10:04:26] ✅ Fetched 26 venues with shows
[10:04:26] ✅ DONE | Shows=118 | Movies=13
[16:50:16] 📍 Loaded 563 district venues
[16:50:16] 🚀 DISTRICT SCRAPER STARTED
[16:50:30] ✅ Fetched 45 venues with shows
[16:50:30] ✅ DONE | Shows=190 | Movies=15
[04:44:17] 📍 Loaded 563 district venues
[04:44:17] 🚀 DISTRICT SCRAPER STARTED
[04:44:17] ⚠ 1094334 status 429
[04:44:17] ⚠ 1008705 status 429
[04:44:17] ⚠ 7714 status 429
[04:44:17] ⚠ 1037496 status 429
[04:44:17] ⚠ 1049243 status 429
[04:44:17] ⚠ 1037228 status 429
[04:44:17] ⚠ 29998 status 429
[04:44:17] ⚠ 1076602 status 429
[04:44:17] ⚠ 1040891 status 429
[04:44:17] ⚠ 1031638 status 429
[04:44:17] ⚠ 1078025 status 429
[04:44:17] ⚠ 1024804 status 429
[04:44:17] ⚠ 1039847 status 429
[04:44:17] ⚠ 1039846 status 429
[04:44:17] ⚠ 1065383 status 429
[04:44:17] ⚠ 1051040 status 429
[04:44:17] ⚠ 1039860 status 429
[04:44:17] ⚠ 50915 status 429
[04:44:17] ⚠ 1039878 status 429
[04:44:17] ⚠ 11264 status 429
[04:44:17] ⚠ 1030389 status 429
[04:44:17] ⚠ 1044503 status 429
[04:44:17] ⚠ 1041688 status 429
[04:44:17] ⚠ 1074151 status 429
[04:44:17] ⚠ 1009194 status 429
[04:44:17] ⚠ 1041672 status 429
[04:44:17] ⚠ 1047659 status 429
[04:44:17] ⚠ 1031636 status 429
[04:44:17] ⚠ 1039875 status 429
[04:44:17] ⚠ 4106 status 429
[04:44:17] ⚠ 1039862 status 429
[04:44:17] ⚠ 2855 status 429
[04:44:17] ⚠ 1041687 status 429
[04:44:17] ⚠ 1024343 status 429
[04:44:17] ⚠ 28206 status 429
[04:44:17] ⚠ 9292 status 429
[04:44:17] ⚠ 25805 status 429
[04:44:17] ⚠ 1096733 status 429
[04:44:17] ⚠ 1039864 status 429
[04:44:17] ⚠ 1036959 status 429
[04:44:17] ⚠ 1097120 status 429
[04:44:17] ⚠ 1001773 status 429
[04:44:17] ⚠ 7258 status 429
[04:44:17] ⚠ 1093265 status 429
[04:44:17] ⚠ 1089130 status 429
[04:44:17] ⚠ 1018795 status 429
[04:44:17] ⚠ 1040466 status 429
[04:44:17] ⚠ 1088822 status 429
[04:44:17] ⚠ 1041685 status 429
[04:44:17] ⚠ 36376 status 429
[04:44:17] ⚠ 9365 status 429
[04:44:17] ⚠ 1039865 status 429
[04:44:17] ⚠ 27151 status 429
[04:44:17] ⚠ 9242 status 429
[04:44:17] ⚠ 25803 status 429
[04:44:17] ⚠ 1041244 status 429
[04:44:17] ⚠ 1098929 status 429
[04:44:17] ⚠ 1039849 status 429
[04:44:17] ⚠ 1027478 status 429
[04:44:17] ⚠ 1046654 status 429
