[10:11:53] 📍 Loaded 563 district venues
[10:11:53] 🚀 DISTRICT SCRAPER STARTED
[10:11:53] ⚠ 1037496 status 404
[10:11:53] ⚠ 1078025 status 404
[10:11:53] ⚠ 1049243 status 404
[10:11:53] ⚠ 1074151 status 404
[10:11:53] ⚠ 50915 status 404
[10:11:53] ⚠ 1051040 status 404
[10:11:53] ⚠ 1093265 status 404
[10:11:53] ⚠ 1031638 status 404
[10:11:53] ⚠ 7714 status 404
[10:11:53] ⚠ 1030389 status 404
[10:11:53] ⚠ 1065383 status 404
[10:11:53] ⚠ 1040891 status 404
[10:11:53] ⚠ 1008705 status 404
[10:11:53] ⚠ 11264 status 404
[10:11:53] ⚠ 1041688 status 404
[10:11:53] ⚠ 1076602 status 404
[10:11:53] ⚠ 1039847 status 404
[10:11:53] ⚠ 1037228 status 404
[10:11:53] ⚠ 1039878 status 404
[10:11:53] ⚠ 1044503 status 404
[10:11:53] ⚠ 29998 status 404
[10:11:53] ⚠ 1024804 status 404
[10:11:53] ⚠ 1094334 status 404
[10:11:53] ⚠ 1027478 status 404
[10:11:53] ⚠ 1039846 status 404
[10:11:53] ⚠ 1009194 status 404
[10:11:53] ⚠ 1041672 status 404
[10:11:53] ⚠ 1039875 status 404
[10:11:53] ⚠ 1031636 status 404
[10:11:53] ⚠ 28206 status 404
[10:11:53] ⚠ 4106 status 404
[10:11:53] ⚠ 1047659 status 404
[10:11:53] ⚠ 1041687 status 404
[10:11:53] ⚠ 1024343 status 404
[10:11:53] ⚠ 25805 status 404
[10:11:53] ⚠ 1039862 status 404
[10:11:53] ⚠ 9292 status 404
[10:11:53] ⚠ 1001773 status 404
[10:11:53] ⚠ 1039864 status 404
[10:11:53] ⚠ 1097120 status 404
[10:11:53] ⚠ 1089130 status 404
[10:11:53] ⚠ 1040466 status 404
[10:11:53] ⚠ 1088822 status 404
[10:11:53] ⚠ 4097 status 404
[10:11:53] ⚠ 1041685 status 404
[10:11:53] ⚠ 1018795 status 404
[10:11:53] ⚠ 9365 status 404
[10:11:53] ⚠ 1039860 status 404
[10:11:53] ⚠ 1039865 status 404
[10:11:53] ⚠ 27151 status 404
[10:11:53] ⚠ 25803 status 404
[10:11:53] ⚠ 36376 status 404
[10:11:53] ⚠ 1098929 status 404
[10:11:53] ⚠ 44361 status 404
[10:11:53] ⚠ 1046654 status 404
[10:11:53] ⚠ 1041244 status 404
[10:11:53] ⚠ 1039851 status 404
[10:11:53] ⚠ 7543 status 404
[10:11:53] ⚠ 4693 status 404
[10:11:53] ⚠ 1039848 status 404
[10:11:53] ⚠ 13958 status 404
[10:11:53] ⚠ 7813 status 404
[10:11:53] ⚠ 1041449 status 404
[10:11:53] ⚠ 2855 status 404
[10:11:53] ⚠ 1096733 status 404
[10:11:53] ⚠ 7301 status 404
[10:11:53] ⚠ 1036959 status 404
[10:11:53] ⚠ 7258 status 404
