[10:04:04] 📍 Loaded 563 district venues
[10:04:04] 🚀 DISTRICT SCRAPER STARTED
[10:04:04] ⚠ 1008705 status 404
[10:04:04] ⚠ 1065383 status 404
[10:04:04] ⚠ 1031638 status 404
[10:04:04] ⚠ 11264 status 404
[10:04:04] ⚠ 1078025 status 404
[10:04:04] ⚠ 1037496 status 404
[10:04:04] ⚠ 7714 status 404
[10:04:04] ⚠ 1051040 status 404
[10:04:04] ⚠ 1039878 status 404
[10:04:04] ⚠ 1030389 status 404
[10:04:04] ⚠ 1094334 status 404
[10:04:04] ⚠ 50915 status 404
[10:04:04] ⚠ 1040891 status 404
[10:04:04] ⚠ 1024804 status 404
[10:04:04] ⚠ 1049243 status 404
[10:04:04] ⚠ 1044503 status 404
[10:04:04] ⚠ 1074151 status 404
[10:04:04] ⚠ 1076602 status 404
[10:04:04] ⚠ 29998 status 404
[10:04:04] ⚠ 1037228 status 404
[10:04:04] ⚠ 1041688 status 404
[10:04:04] ⚠ 1031636 status 404
[10:04:04] ⚠ 1039860 status 404
[10:04:04] ⚠ 1093265 status 404
[10:04:04] ⚠ 1039847 status 404
[10:04:04] ⚠ 28206 status 404
[10:04:04] ⚠ 1039846 status 404
[10:04:04] ⚠ 1039875 status 404
[10:04:04] ⚠ 1027478 status 404
[10:04:04] ⚠ 1041672 status 404
[10:04:04] ⚠ 1047659 status 404
[10:04:04] ⚠ 1009194 status 404
[10:04:04] ⚠ 1096733 status 404
[10:04:04] ⚠ 4106 status 404
[10:04:04] ⚠ 2855 status 404
[10:04:04] ⚠ 1024343 status 404
[10:04:04] ⚠ 1041687 status 404
[10:04:04] ⚠ 9292 status 404
[10:04:04] ⚠ 1039864 status 404
[10:04:04] ⚠ 1097120 status 404
[10:04:04] ⚠ 1089130 status 404
[10:04:04] ⚠ 1040466 status 404
[10:04:04] ⚠ 7258 status 404
[10:04:04] ⚠ 1039850 status 404
[10:04:04] ⚠ 1088822 status 404
[10:04:04] ⚠ 1001773 status 404
[10:04:04] ⚠ 4097 status 404
[10:04:04] ⚠ 1036959 status 404
[10:04:04] ⚠ 1018795 status 404
[10:04:04] ⚠ 9242 status 404
[10:04:04] ⚠ 1041685 status 404
[10:04:04] ⚠ 27151 status 404
[10:04:04] ⚠ 1039865 status 404
[10:04:04] ⚠ 9365 status 404
[10:04:04] ⚠ 25803 status 404
[10:04:04] ⚠ 44361 status 404
[10:04:04] ⚠ 1046654 status 404
