[10:06:55] 📍 Loaded 563 district venues
[10:06:55] 🚀 DISTRICT SCRAPER STARTED
[10:06:56] ⚠ 7714 status 404
[10:06:56] ⚠ 1031638 status 404
[10:06:56] ⚠ 1065383 status 404
[10:06:56] ⚠ 1037496 status 404
[10:06:56] ⚠ 29998 status 404
[10:06:56] ⚠ 1074151 status 404
[10:06:56] ⚠ 1008705 status 404
[10:06:56] ⚠ 1051040 status 404
[10:06:56] ⚠ 1094334 status 404
[10:06:56] ⚠ 1040891 status 404
[10:06:56] ⚠ 1044503 status 404
[10:06:56] ⚠ 1039878 status 404
[10:06:56] ⚠ 1030389 status 404
[10:06:56] ⚠ 1078025 status 404
[10:06:56] ⚠ 1076602 status 404
[10:06:56] ⚠ 1039847 status 404
[10:06:56] ⚠ 1037228 status 404
[10:06:56] ⚠ 1039860 status 404
[10:06:56] ⚠ 1024804 status 404
[10:06:56] ⚠ 1039846 status 404
[10:06:56] ⚠ 1027478 status 404
[10:06:56] ⚠ 50915 status 404
[10:06:56] ⚠ 1009194 status 404
[10:06:56] ⚠ 1031636 status 404
[10:06:56] ⚠ 11264 status 404
[10:06:56] ⚠ 1093265 status 404
[10:06:56] ⚠ 4106 status 404
[10:06:56] ⚠ 28206 status 404
[10:06:56] ⚠ 1039875 status 404
[10:06:56] ⚠ 1041688 status 404
[10:06:56] ⚠ 1041672 status 404
[10:06:56] ⚠ 1041687 status 404
[10:06:56] ⚠ 1047659 status 404
[10:06:56] ⚠ 1049243 status 404
[10:06:56] ⚠ 2855 status 404
[10:06:56] ⚠ 1024343 status 404
[10:06:56] ⚠ 1039862 status 404
[10:06:56] ⚠ 1039864 status 404
[10:06:56] ⚠ 25805 status 404
[10:06:56] ⚠ 1096733 status 404
[10:06:56] ⚠ 9292 status 404
[10:06:56] ⚠ 1097120 status 404
[10:06:56] ⚠ 1001773 status 404
[10:06:56] ⚠ 1036959 status 404
[10:06:56] ⚠ 1089130 status 404
[10:06:56] ⚠ 7258 status 404
[10:06:56] ⚠ 1039850 status 404
[10:06:56] ⚠ 4097 status 404
[10:06:56] ⚠ 1040466 status 404
[10:06:56] ⚠ 1088822 status 404
[10:06:56] ⚠ 1041685 status 404
[10:06:56] ⚠ 9242 status 404
[10:06:56] ⚠ 1018795 status 404
[10:06:56] ⚠ 25803 status 404
[10:06:56] ⚠ 1039865 status 404
[10:06:56] ⚠ 36376 status 404
[10:06:56] ⚠ 1098929 status 404
[10:06:56] ⚠ 1039849 status 404
[10:06:56] ⚠ 44361 status 404
[10:06:56] ⚠ 1041244 status 404
[10:06:56] ⚠ 1039851 status 404
[10:06:56] ⚠ 1046654 status 404
[10:06:56] ⚠ 7543 status 404
[10:06:56] ⚠ 4693 status 404
[10:06:56] ⚠ 56048 status 404
[10:06:56] ⚠ 13958 status 404
[10:06:56] ⚠ 7813 status 404
[10:06:56] ⚠ 1039848 status 404
[10:06:56] ⚠ 7301 status 404
[10:06:56] ⚠ 9920 status 404
[10:06:56] ⚠ 7841 status 404
[10:06:56] ⚠ 4380 status 404
[10:06:56] ⚠ 14120 status 404
[10:06:56] ⚠ 1080239 status 404
[10:06:56] ⚠ 1016089 status 404
[10:06:56] ⚠ 4189 status 404
[10:06:56] ⚠ 1056572 status 404
[10:06:56] ⚠ 28968 status 404
[10:06:56] ⚠ 27373 status 404
[10:06:56] ⚠ 1041394 status 404
[10:06:56] ⚠ 1022965 status 404
[10:06:56] ⚠ 1030438 status 404
[10:06:56] ⚠ 27151 status 404
[10:06:56] ⚠ 1037518 status 404
[10:06:56] ⚠ 9365 status 404
[10:06:56] ⚠ 60083 status 404
[10:06:56] ⚠ 4171 status 404
[10:06:56] ⚠ 1075746 status 404
[10:06:56] ⚠ 1037525 status 404
[10:06:56] ⚠ 24521 status 404
[10:06:56] ⚠ 1008456 status 404
[10:06:56] ⚠ 4178 status 404
[10:06:56] ⚠ 1016053 status 404
[10:06:56] ⚠ 1053400 status 404
[10:06:56] ⚠ 1008418 status 404
[10:06:56] ⚠ 60085 status 404
[10:06:56] ⚠ 1041743 status 404
[10:06:56] ⚠ 1018652 status 404
[10:06:56] ⚠ 17069 status 404
[10:06:56] ⚠ 1041449 status 404
[10:06:56] ⚠ 10940 status 404
[10:06:56] ⚠ 9487 status 404
[10:06:56] ⚠ 25804 status 404
[10:06:56] ⚠ 1016133 status 404
[10:06:56] ⚠ 1050791 status 404
[10:06:56] ⚠ 55272 status 404
[10:06:56] ⚠ 1030504 status 404
[10:06:56] ⚠ 5059 status 404
[10:06:56] ⚠ 1049666 status 404
[10:06:56] ⚠ 1016088 status 404
[10:06:56] ⚠ 55733 status 404
[10:06:56] ⚠ 1018799 status 404
[10:06:56] ⚠ 1042635 status 404
[10:06:56] ⚠ 1036962 status 404
[10:06:56] ⚠ 1011174 status 404
[10:06:56] ⚠ 1042640 status 404
[10:06:56] ⚠ 1053618 status 404
[10:06:56] ⚠ 1042615 status 404
[10:06:56] ⚠ 1007054 status 404
[10:06:56] ⚠ 1037511 status 404
[10:06:56] ⚠ 1037502 status 404
[10:06:56] ⚠ 3960 status 404
[10:06:56] ⚠ 28925 status 404
[10:06:56] ⚠ 1042453 status 404
[10:06:56] ⚠ 3981 status 404
[10:06:56] ⚠ 4232 status 404
[10:06:56] ⚠ 1041728 status 404
[10:06:56] ⚠ 3910 status 404
[10:06:56] ⚠ 1037526 status 404
[10:06:56] ⚠ 7881 status 404
[10:06:56] ⚠ 14702 status 404
[10:06:56] ⚠ 1012595 status 404
[10:06:56] ⚠ 22684 status 404
[10:06:56] ⚠ 1041504 status 404
[10:06:56] ⚠ 6044 status 404
[10:06:56] ⚠ 1037961 status 404
[10:06:56] ⚠ 14694 status 404
[10:06:56] ⚠ 32194 status 404
[10:06:56] ⚠ 7534 status 404
[10:06:56] ⚠ 4028 status 404
[10:06:56] ⚠ 19528 status 404
[10:06:56] ⚠ 4008 status 404
[10:06:56] ⚠ 1067946 status 404
[10:06:56] ⚠ 58633 status 404
[10:06:56] ⚠ 9135 status 404
[10:06:56] ⚠ 25860 status 404
[10:06:56] ⚠ 1024343 status 404
[10:06:56] ⚠ 4891 status 404
[10:06:56] ⚠ 1092958 status 404
[10:06:56] ⚠ 43348 status 404
[10:06:56] ⚠ 1019166 status 404
[10:06:56] ⚠ 1018798 status 404
[10:06:56] ⚠ 6057 status 404
[10:06:56] ⚠ 1091219 status 404
[10:06:56] ⚠ 1005799 status 404
[10:06:56] ⚠ 1050645 status 404
[10:06:56] ⚠ 1005798 status 404
[10:06:56] ⚠ 1089067 status 404
[10:06:56] ⚠ 1020333 status 404
[10:06:56] ⚠ 1034375 status 404
[10:06:56] ⚠ 4248 status 404
[10:06:56] ⚠ 10250 status 404
[10:06:56] ⚠ 1037530 status 404
[10:06:56] ⚠ 1025291 status 404
[10:06:56] ⚠ 4608 status 404
[10:06:56] ⚠ 1041725 status 404
[10:06:56] ⚠ 1033632 status 404
[10:06:56] ⚠ 1058533 status 404
[10:06:56] ⚠ 1023626 status 404
[10:06:56] ⚠ 27150 status 404
[10:06:56] ⚠ 1044095 status 404
[10:06:56] ⚠ 1058794 status 404
[10:06:56] ⚠ 1039768 status 404
[10:06:56] ⚠ 1034254 status 404
[10:06:56] ⚠ 1034186 status 404
[10:06:56] ⚠ 1019593 status 404
[10:06:56] ⚠ 1015291 status 404
[10:06:56] ⚠ 1039751 status 404
[10:06:56] ⚠ 27715 status 404
